Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-04-23,4,16,51,12,10,0,2,0,9,4,7,0,3,2,2,15,6,15,2,0,8,3,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2024-04-24,7,13,35,6,14,0,7,1,4,6,5,5,2,3,1,6,8,13,3,2,4,5,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-25,2,30,47,11,6,0,0,0,5,1,5,0,8,1,1,10,9,5,2,0,11,4,0,0,0,1,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-04-26,4,22,56,13,10,0,9,1,7,6,9,1,9,3,3,14,10,16,1,1,7,8,0,2,0,3,0,8,2,1,1,1,1,0,2,0,0,0,1,0,0,0,0
2024-04-29,5,20,64,23,14,0,4,4,4,7,6,1,0,7,2,7,9,17,2,0,6,3,0,0,0,1,1,4,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0
2024-04-30,3,29,52,7,20,0,3,2,8,4,10,4,1,5,5,8,5,9,2,0,6,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-02,9,23,69,16,3,0,1,0,12,3,5,3,7,8,3,14,11,21,4,2,13,6,0,0,0,1,2,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2024-05-03,11,25,44,20,10,0,4,1,10,3,15,3,10,3,4,11,10,17,4,0,9,4,0,0,0,1,3,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-05-06,6,21,52,11,0,0,0,2,7,4,2,1,2,4,4,6,2,5,3,0,6,2,0,1,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2024-05-07,6,19,54,9,12,0,5,4,6,2,5,0,3,4,6,9,6,10,2,3,9,2,0,2,0,3,1,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0
2024-05-08,5,13,47,6,7,0,1,7,4,5,13,1,9,2,4,10,5,8,0,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2024-05-09,1,17,38,11,6,0,2,3,3,5,7,2,4,4,0,9,8,16,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024-05-10,2,11,29,5,6,0,2,7,4,5,10,0,2,1,5,6,13,7,5,0,5,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-14,7,23,34,18,6,0,0,4,6,5,7,1,3,2,0,8,2,8,0,5,3,0,0,0,0,0,0,13,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0
2024-05-15,5,27,53,18,10,0,7,5,4,1,6,1,6,8,7,11,11,15,4,1,5,0,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0
2024-05-16,6,20,47,17,4,0,1,0,3,6,10,0,0,1,2,6,8,3,2,0,6,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2024-05-17,5,21,47,20,12,0,5,2,5,4,12,7,10,2,13,10,12,9,2,5,6,4,0,4,0,3,3,7,1,4,0,1,0,0,5,0,0,0,1,0,0,0,0
2024-05-20,9,11,26,19,7,0,4,3,6,3,5,0,0,1,3,4,9,19,4,1,3,5,0,2,0,2,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
2024-05-21,4,38,45,15,4,0,2,6,6,11,9,1,1,6,5,16,12,7,1,2,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-22,6,21,22,4,7,0,3,2,4,4,5,1,4,8,3,9,14,13,0,1,7,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2024-05-23,12,23,21,9,8,0,0,8,6,3,7,1,4,2,2,19,5,13,2,3,3,2,0,1,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-05-24,4,23,35,6,5,0,0,1,3,2,8,3,1,1,1,6,5,7,4,1,8,3,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0
2024-05-27,4,23,33,3,6,0,2,3,3,0,6,1,4,4,1,11,6,7,3,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-28,1,27,47,7,9,0,6,5,7,2,10,0,10,2,0,27,4,20,1,1,4,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29,9,28,27,9,8,0,2,0,6,1,8,1,10,4,4,16,11,11,4,2,3,4,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-05-30,6,15,42,7,9,0,3,3,9,4,4,1,0,13,2,15,12,16,0,0,4,1,0,0,0,0,3,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-05-31,9,19,39,13,11,0,2,3,5,2,5,0,4,7,2,10,14,9,3,1,5,3,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-04,2,40,36,12,9,0,3,2,14,15,9,1,1,10,7,29,8,9,2,4,5,5,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-06-05,3,17,33,7,8,0,5,1,6,3,1,0,5,5,0,17,11,16,4,0,4,6,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-06-06,2,17,24,12,1,0,3,1,5,1,0,1,2,4,2,21,5,21,4,4,5,0,0,1,0,0,1,0,0,1,2,0,0,0,4,0,0,0,2,0,0,0,0
2024-06-07,4,24,24,11,5,0,1,4,10,3,14,3,5,4,2,12,12,26,3,1,1,5,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-06-10,4,19,21,12,6,0,3,1,11,5,5,3,5,3,2,17,8,11,2,2,9,6,0,1,0,0,0,2,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0
2024-06-11,9,21,30,16,6,0,3,0,4,0,8,1,8,7,0,5,11,18,0,2,2,3,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-06-12,3,29,24,8,12,0,3,6,13,5,1,0,3,7,1,21,14,24,0,1,5,5,0,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0
2024-06-13,12,14,36,5,6,0,5,3,6,8,4,0,4,3,5,12,8,6,1,0,5,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0
2024-06-14,7,16,30,6,9,0,4,3,8,3,3,1,8,9,2,20,13,16,2,2,13,3,0,0,0,3,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-06-18,3,31,22,9,9,0,2,4,6,2,3,3,6,8,0,17,11,18,5,3,4,8,0,0,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-06-19,2,35,25,11,7,0,0,6,9,1,4,0,7,2,0,14,7,9,2,0,10,2,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2024-06-20,3,31,37,17,8,0,4,1,9,5,7,0,4,8,6,22,10,21,1,2,5,4,0,1,0,0,0,3,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0
2024-06-21,2,29,48,7,1,0,2,6,11,10,4,0,3,4,2,21,15,9,5,0,8,3,0,1,0,0,0,3,3,5,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-06-25,1,22,48,6,6,0,7,3,6,4,4,0,5,1,0,13,9,10,4,2,6,2,0,0,0,1,0,2,0,4,0,5,0,0,4,0,0,0,1,0,0,0,0
2024-06-26,8,16,28,9,6,0,2,2,2,8,4,1,3,10,4,15,10,12,2,1,9,2,0,0,0,3,0,1,0,2,0,0,0,0,10,0,1,0,0,0,0,0,0
2024-06-27,4,30,44,19,9,0,3,5,8,6,13,0,1,4,2,13,10,12,1,1,10,2,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0
2024-06-28,2,30,33,28,11,0,1,6,15,7,34,1,7,6,3,25,14,25,2,1,15,7,0,3,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-07-01,12,21,43,19,9,0,5,5,9,3,3,1,10,8,3,21,11,27,2,2,8,2,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2024-07-02,5,22,22,31,11,0,4,3,9,10,6,0,12,13,1,13,12,20,7,2,11,6,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-03,8,37,45,17,5,0,4,0,10,8,10,0,2,1,0,15,21,19,0,0,7,0,0,0,0,2,0,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0
2024-07-04,14,35,53,19,7,0,1,3,11,10,11,1,8,5,3,29,20,19,7,3,6,2,0,3,0,0,1,2,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
2024-07-08,14,26,47,23,14,0,0,5,12,2,10,4,6,2,8,19,7,15,4,0,17,2,0,3,1,0,4,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2024-07-09,12,21,39,21,13,0,4,0,6,6,6,2,8,5,1,16,7,13,3,0,32,3,0,2,0,1,0,3,1,1,0,0,0,1,5,0,0,0,1,0,0,0,0
2024-07-10,8,39,46,13,6,0,5,3,12,11,8,1,12,0,0,18,19,24,5,1,24,8,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2024-07-11,12,31,38,10,10,0,5,10,12,6,11,2,7,4,0,23,9,12,1,1,22,4,0,1,0,0,1,14,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0
2024-07-12,13,47,45,46,7,0,6,7,19,8,15,1,10,12,5,24,8,20,5,5,28,12,0,1,0,1,1,11,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2024-07-15,18,36,59,29,12,0,8,0,6,7,7,4,7,9,1,28,15,16,3,1,17,8,0,2,0,5,2,7,0,0,1,3,0,1,4,0,0,0,0,0,0,0,0
2024-07-16,16,32,41,23,10,0,11,4,8,7,6,0,10,7,4,22,11,7,13,2,16,10,0,7,0,0,1,2,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0
2024-07-17,12,57,64,31,25,0,10,9,15,11,15,3,6,6,6,24,31,16,5,1,14,10,0,7,0,1,2,6,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2024-07-18,11,55,52,33,16,0,4,3,18,3,12,0,7,8,2,23,24,16,7,0,22,7,0,6,0,5,0,8,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-07-19,10,35,24,30,9,0,0,7,11,4,7,6,2,3,5,22,18,11,2,0,7,9,0,2,0,5,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-07-22,18,34,41,24,7,0,0,2,6,7,9,0,5,5,9,16,19,14,4,0,15,9,0,5,0,7,0,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-23,12,45,25,24,9,0,6,7,13,7,5,0,9,8,9,21,16,22,2,4,17,7,0,7,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,4,44,40,36,13,0,6,2,11,8,11,2,5,14,5,30,13,22,2,2,13,0,0,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-07-26,7,49,65,26,19,0,2,4,10,25,10,6,14,7,11,24,18,29,4,1,21,6,0,3,0,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-07-29,1,15,15,8,2,0,1,0,4,3,0,0,2,0,0,6,2,5,5,0,11,4,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2024-07-30,0,3,8,0,2,0,2,0,0,0,0,0,0,0,0,2,4,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,1,20,27,9,7,0,4,4,3,0,12,3,2,2,0,14,7,6,6,1,10,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-01,1,36,32,19,2,0,2,5,4,2,2,1,6,2,0,16,4,9,3,0,16,6,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-02,8,45,54,35,15,0,3,2,14,6,5,6,4,13,1,23,17,17,5,1,23,3,0,1,0,3,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-05,7,42,43,40,8,0,3,5,14,2,11,0,9,7,2,18,18,13,5,2,16,9,0,2,0,1,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-08-06,9,18,31,31,9,0,7,5,11,8,2,3,3,3,2,11,14,9,4,4,17,4,0,1,0,5,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07,4,30,26,12,5,0,3,1,11,5,5,0,7,2,7,16,12,12,1,7,18,4,0,4,0,5,1,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0
2024-08-08,6,25,30,22,14,0,4,3,11,1,5,3,4,2,9,16,15,13,5,0,7,6,0,5,0,3,2,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-08-09,5,22,20,18,3,0,0,1,12,2,5,2,5,3,0,8,7,8,10,6,5,2,0,0,0,1,2,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-08-12,3,31,26,15,18,0,0,3,12,5,0,0,2,3,1,26,10,9,2,1,7,7,0,0,0,0,0,2,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0
2024-08-13,6,29,30,19,17,0,2,2,9,7,9,3,5,3,4,17,11,5,12,2,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-14,8,30,30,20,12,0,4,3,8,7,25,2,9,5,2,21,6,12,6,3,6,4,0,1,0,1,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-15,2,31,35,13,14,0,4,2,9,2,11,0,8,4,1,20,7,19,1,0,9,10,0,4,0,0,1,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
